circuit_id,parcel_id,assessment_required,reviewed_side
C34988,33172,True,left
C34988,34207,True,right
C34992,2387,True,left
C34992,10152,True,right
C34992,14874,True,left
C34992,16630,True,right
C34992,27622,True,left
C34992,33180,True,left
C34992,33184,True,left
C34992,33661,True,left
C34992,33664,True,left
C34992,33670,True,right
C34992,33721,True,right
C35156,17275,True,left
C35156,17280,True,right
C35156,18536,True,left
C35156,19941,True,right
C35167,10476,True,left
C35167,11837,True,left
C35167,13230,True,right
C35167,21249,True,left
C35180,3729,True,right
C35180,13198,True,right
C35180,15873,True,left
C35180,19882,True,right
C35180,30507,True,right
C35180,32576,True,left
C35180,32577,True,right
C35180,32920,True,left
C35180,32921,True,left
C35442,4199,True,left
C35442,4207,True,left
C35442,4217,True,left
C35442,4221,True,right
C35442,4236,True,left
C35442,4238,True,right
C35442,4303,True,left
C35442,4304,True,left
C35442,4305,True,left
C35442,4306,True,left
C35442,4307,True,left
C35442,4308,True,left
C35442,4309,True,left
C35442,10550,True,right
C35442,10566,True,left
C35442,10567,True,left
C35442,11914,True,right
C35442,13331,True,left
C35442,14577,True,left
C35442,18607,True,left
C35442,18608,True,left
C35442,20008,True,left
C35442,23972,True,left
C35442,23977,True,left
C35442,27983,False,left
C35442,30606,True,right
C35442,32011,True,right
C35442,32014,True,right
C35681,9004,True,left
C35681,9029,True,left
C35681,9031,True,right
C35681,9051,True,right
C35681,9053,True,left
C35681,9073,True,right
C35681,9077,True,left
C35681,9089,True,right
C35681,9104,True,right
C35681,9124,True,right
C35681,11376,True,left
C35681,13785,True,right
C35681,15400,True,left
C35681,17827,True,left
C35681,21823,True,left
C35681,23400,True,right
C35681,25029,True,left
C35681,25035,True,right
C35681,30747,True,left
C35681,31478,True,right
